"Cestnoprometne nesreèe in udeleženci v nesreèah po urah dneva, Slovenija, letni podatki do 2014"

"URA NESREÈE V DNEVU";"2003 Prometne nesreèe - SKUPAJ";"2003 Prometne nesreèe s smrtnim izidom";"2003 Prometne nesreèe s telesno poškodbo";"2003 Prometne nesreèe z materialno škodo";"2003 Število udeležencev - SKUPAJ";"2003 Število udeležencev - mrtvi";"2003 Število udeležencev s hudo telesno poškodbo";"2003 Število udeležencev z lahko telesno poškodbo";"2003 Število udeležencev brez poškodbe";"2004 Prometne nesreèe - SKUPAJ";"2004 Prometne nesreèe s smrtnim izidom";"2004 Prometne nesreèe s telesno poškodbo";"2004 Prometne nesreèe z materialno škodo";"2004 Število udeležencev - SKUPAJ";"2004 Število udeležencev - mrtvi";"2004 Število udeležencev s hudo telesno poškodbo";"2004 Število udeležencev z lahko telesno poškodbo";"2004 Število udeležencev brez poškodbe";"2005 Prometne nesreèe - SKUPAJ";"2005 Prometne nesreèe s smrtnim izidom";"2005 Prometne nesreèe s telesno poškodbo";"2005 Prometne nesreèe z materialno škodo";"2005 Število udeležencev - SKUPAJ";"2005 Število udeležencev - mrtvi";"2005 Število udeležencev s hudo telesno poškodbo";"2005 Število udeležencev z lahko telesno poškodbo";"2005 Število udeležencev brez poškodbe";"2006 Prometne nesreèe - SKUPAJ";"2006 Prometne nesreèe s smrtnim izidom";"2006 Prometne nesreèe s telesno poškodbo";"2006 Prometne nesreèe z materialno škodo";"2006 Število udeležencev - SKUPAJ";"2006 Število udeležencev - mrtvi";"2006 Število udeležencev s hudo telesno poškodbo";"2006 Število udeležencev z lahko telesno poškodbo";"2006 Število udeležencev brez poškodbe";"2007 Prometne nesreèe - SKUPAJ";"2007 Prometne nesreèe s smrtnim izidom";"2007 Prometne nesreèe s telesno poškodbo";"2007 Prometne nesreèe z materialno škodo";"2007 Število udeležencev - SKUPAJ";"2007 Število udeležencev - mrtvi";"2007 Število udeležencev s hudo telesno poškodbo";"2007 Število udeležencev z lahko telesno poškodbo";"2007 Število udeležencev brez poškodbe";"2008 Prometne nesreèe - SKUPAJ";"2008 Prometne nesreèe s smrtnim izidom";"2008 Prometne nesreèe s telesno poškodbo";"2008 Prometne nesreèe z materialno škodo";"2008 Število udeležencev - SKUPAJ";"2008 Število udeležencev - mrtvi";"2008 Število udeležencev s hudo telesno poškodbo";"2008 Število udeležencev z lahko telesno poškodbo";"2008 Število udeležencev brez poškodbe";"2009 Prometne nesreèe - SKUPAJ";"2009 Prometne nesreèe s smrtnim izidom";"2009 Prometne nesreèe s telesno poškodbo";"2009 Prometne nesreèe z materialno škodo";"2009 Število udeležencev - SKUPAJ";"2009 Število udeležencev - mrtvi";"2009 Število udeležencev s hudo telesno poškodbo";"2009 Število udeležencev z lahko telesno poškodbo";"2009 Število udeležencev brez poškodbe";"2010 Prometne nesreèe - SKUPAJ";"2010 Prometne nesreèe s smrtnim izidom";"2010 Prometne nesreèe s telesno poškodbo";"2010 Prometne nesreèe z materialno škodo";"2010 Število udeležencev - SKUPAJ";"2010 Število udeležencev - mrtvi";"2010 Število udeležencev s hudo telesno poškodbo";"2010 Število udeležencev z lahko telesno poškodbo";"2010 Število udeležencev brez poškodbe";"2011 Prometne nesreèe - SKUPAJ";"2011 Prometne nesreèe s smrtnim izidom";"2011 Prometne nesreèe s telesno poškodbo";"2011 Prometne nesreèe z materialno škodo";"2011 Število udeležencev - SKUPAJ";"2011 Število udeležencev - mrtvi";"2011 Število udeležencev s hudo telesno poškodbo";"2011 Število udeležencev z lahko telesno poškodbo";"2011 Število udeležencev brez poškodbe";"2012 Prometne nesreèe - SKUPAJ";"2012 Prometne nesreèe s smrtnim izidom";"2012 Prometne nesreèe s telesno poškodbo";"2012 Prometne nesreèe z materialno škodo";"2012 Število udeležencev - SKUPAJ";"2012 Število udeležencev - mrtvi";"2012 Število udeležencev s hudo telesno poškodbo";"2012 Število udeležencev z lahko telesno poškodbo";"2012 Število udeležencev brez poškodbe";"2013 Prometne nesreèe - SKUPAJ";"2013 Prometne nesreèe s smrtnim izidom";"2013 Prometne nesreèe s telesno poškodbo";"2013 Prometne nesreèe z materialno škodo";"2013 Število udeležencev - SKUPAJ";"2013 Število udeležencev - mrtvi";"2013 Število udeležencev s hudo telesno poškodbo";"2013 Število udeležencev z lahko telesno poškodbo";"2013 Število udeležencev brez poškodbe";"2014 Prometne nesreèe - SKUPAJ";"2014 Prometne nesreèe s smrtnim izidom";"2014 Prometne nesreèe s telesno poškodbo";"2014 Prometne nesreèe z materialno škodo";"2014 Število udeležencev - SKUPAJ";"2014 Število udeležencev - mrtvi";"2014 Število udeležencev s hudo telesno poškodbo";"2014 Število udeležencev z lahko telesno poškodbo";"2014 Število udeležencev brez poškodbe"
"0";604;6;163;435;1052;7;24;230;791;655;9;189;457;1128;9;23;291;805;510;7;140;363;846;7;18;181;640;507;9;149;349;882;10;22;238;612;456;10;110;336;791;10;28;176;577;368;3;104;261;624;4;24;131;465;306;4;108;194;536;5;30;153;348;292;6;84;202;489;6;18;115;350;295;3;72;220;481;3;17;96;365;300;2;74;224;457;2;13;99;343;234;1;64;169;371;1;12;71;287;224;1;58;165;341;1;4;73;263
"1";487;2;144;341;834;2;22;205;605;555;12;170;373;987;12;39;281;655;414;6;129;279;690;6;31;160;493;462;6;147;309;790;6;26;211;547;377;9;114;254;621;12;24;154;431;286;2;75;209;461;2;12;108;339;260;1;80;179;422;1;17;106;298;244;2;63;179;370;2;4;78;286;230;5;50;175;364;5;8;73;278;258;4;49;205;378;5;8;64;301;197;1;47;149;294;1;6;63;224;184;4;38;142;277;4;3;44;226
"2";449;4;114;331;721;5;24;159;533;456;5;145;306;773;5;23;199;546;344;6;79;259;548;6;16;108;418;359;0;101;258;581;0;17;131;433;351;1;116;234;579;1;21;157;400;231;3;70;158;377;4;15;99;259;208;3;57;148;326;3;9;79;235;188;4;50;134;308;5;9;76;218;227;3;45;179;350;3;15;62;270;218;5;40;173;318;5;4;53;256;168;3;44;121;268;3;9;56;200;158;2;32;124;236;2;9;39;186
"3";390;9;108;273;675;12;28;160;475;429;3;94;332;704;3;18;136;547;334;10;96;228;572;11;18;139;404;347;5;93;249;594;7;24;116;447;278;5;74;199;457;6;17;112;322;213;2;68;143;341;2;24;90;225;215;2;69;144;361;3;9;105;244;223;2;69;152;337;2;10;91;234;170;0;26;144;237;0;3;31;203;225;1;58;166;358;1;13;69;275;183;4;45;134;289;5;12;59;213;168;3;29;136;249;3;3;38;205
"4";403;4;129;270;694;4;31;172;487;428;6;137;285;749;7;24;203;515;331;8;93;230;573;10;29;140;394;378;4;126;248;590;7;12;167;404;354;4;125;225;573;6;20;166;381;235;3;87;145;397;4;14;114;265;218;4;78;136;365;6;29;102;228;207;2;59;146;329;2;13;79;235;209;3;56;150;333;3;7;77;246;237;1;50;186;358;1;9;75;273;187;5;46;136;290;5;6;65;214;163;2;43;118;248;2;5;56;185
"5";782;8;275;499;1430;10;46;367;1007;822;8;304;510;1513;10;46;435;1022;638;5;251;382;1140;5;27;305;803;683;6;270;407;1222;6;48;340;828;605;16;228;361;1062;17;35;291;719;482;4;205;273;810;4;27;245;534;429;6;197;226;781;8;33;259;481;424;4;146;274;723;5;22;183;513;524;4;176;344;919;6;42;248;623;498;2;138;358;787;2;17;181;587;405;3;152;250;664;4;16;188;456;381;1;129;251;603;1;9;161;432
"6";1454;8;493;953;2922;8;49;620;2245;1601;11;511;1079;3164;13;54;689;2408;1174;12;425;737;2289;14;53;547;1675;1185;6;435;744;2306;6;51;576;1673;1135;10;462;663;2149;10;42;588;1509;843;7;344;492;1603;7;32;442;1122;662;4;300;358;1243;4;27;366;846;767;4;297;466;1397;4;27;347;1019;863;5;254;604;1474;7;26;301;1140;734;4;219;511;1284;4;21;257;1002;656;6;254;396;1141;7;23;303;808;654;3;213;438;1178;4;19;264;891
"7";1771;4;459;1308;3566;6;34;584;2942;1868;4;537;1327;3716;4;39;693;2980;1452;4;484;964;2833;5;46;607;2175;1307;4;477;826;2610;6;43;639;1922;1322;9;512;801;2613;9;44;672;1888;1003;6;387;610;1935;6;26;465;1438;892;6;365;521;1712;7;29;459;1217;1031;6;348;677;1926;6;34;405;1481;1075;4;336;735;1980;4;36;420;1520;927;4;308;615;1712;4;32;373;1303;819;3;283;533;1483;3;31;316;1133;797;6;269;522;1459;8;27;314;1110
"8";1835;5;424;1406;3688;6;50;529;3103;1852;7;460;1385;3665;9;42;586;3028;1319;4;352;963;2548;6;28;443;2071;1337;7;422;908;2640;7;39;548;2046;1222;6;379;837;2346;6;28;476;1836;974;4;344;626;1880;4;20;436;1420;895;7;343;545;1705;7;32;426;1240;1003;5;298;700;1895;8;22;373;1492;1096;3;263;830;2017;3;29;307;1678;992;3;269;720;1827;5;31;311;1480;871;3;248;620;1585;3;36;279;1267;863;4;270;589;1603;4;36;316;1247
"9";2020;12;442;1566;4092;13;40;560;3479;2080;8;502;1570;4195;8;46;636;3505;1480;9;431;1040;2962;10;44;549;2359;1472;6;441;1025;2926;9;46;549;2322;1515;10;501;1004;2927;12;33;627;2255;1058;9;368;681;2068;9;40;449;1570;946;3;353;590;1781;3;29;422;1327;1051;9;321;721;1976;9;34;380;1553;1181;4;341;836;2211;4;30;413;1764;1157;9;314;834;2193;9;36;380;1768;979;1;297;681;1789;1;29;360;1399;937;4;314;619;1736;4;35;371;1326
